Source IP,Destination IP,Source MAC,Destination MAC,IP Version,TTL,Checksum,Packet Size,Passing Time,Protocol,Identifier,Sequence
35.186.224.24,192.168.55.103,N/A,N/A,IPv4,122,N/A,93 bytes,2024-09-04 15:33:56,IP (TTL: 122),N/A,N/A
192.168.55.103,35.186.224.24,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,N/A,54 bytes,2024-09-04 15:33:56,TCP (ACK),1533649446,3648936260
192.168.55.103,35.186.224.24,N/A,N/A,IPv4,128,N/A,54 bytes,2024-09-04 15:33:56,IP (TTL: 128),N/A,N/A
192.168.55.103,35.186.224.24,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,N/A,89 bytes,2024-09-04 15:33:56,TCP,1533649446,3648936260
192.168.55.103,35.186.224.24,N/A,N/A,IPv4,N/A,N/A,89 bytes,2024-09-04 15:33:56,Unknown,N/A,N/A
192.168.55.103,35.186.224.24,N/A,N/A,IPv4,128,N/A,89 bytes,2024-09-04 15:33:56,IP (TTL: 128),N/A,N/A
192.168.55.103,35.186.224.24,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,N/A,93 bytes,2024-09-04 15:33:56,TCP,1533649481,3648936260
192.168.55.103,35.186.224.24,N/A,N/A,IPv4,N/A,N/A,93 bytes,2024-09-04 15:33:56,Unknown,N/A,N/A
192.168.55.103,35.186.224.24,N/A,N/A,IPv4,128,N/A,93 bytes,2024-09-04 15:33:56,IP (TTL: 128),N/A,N/A
35.186.224.24,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,122,N/A,60 bytes,2024-09-04 15:33:56,TCP (ACK),3648936260,1533649520
35.186.224.24,192.168.55.103,N/A,N/A,IPv4,122,N/A,60 bytes,2024-09-04 15:33:56,IP (TTL: 122),N/A,N/A
35.186.224.24,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,58,UDP,66 bytes,2024-09-04 15:33:56,UDP,N/A,N/A
35.186.224.24,192.168.55.103,N/A,N/A,IPv4,58,N/A,66 bytes,2024-09-04 15:33:56,IP (TTL: 58),N/A,N/A
192.168.55.103,35.186.224.24,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,UDP,73 bytes,2024-09-04 15:33:56,UDP,N/A,N/A
192.168.55.103,35.186.224.24,N/A,N/A,IPv4,128,N/A,73 bytes,2024-09-04 15:33:56,IP (TTL: 128),N/A,N/A
192.168.55.103,52.168.117.175,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,N/A,55 bytes,2024-09-04 15:33:56,TCP (ACK),1902052014,3097105136
192.168.55.103,52.168.117.175,N/A,N/A,IPv4,N/A,N/A,55 bytes,2024-09-04 15:33:56,Unknown,N/A,N/A
192.168.55.103,52.168.117.175,N/A,N/A,IPv4,128,N/A,55 bytes,2024-09-04 15:33:56,IP (TTL: 128),N/A,N/A
52.168.117.175,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,106,N/A,66 bytes,2024-09-04 15:33:56,TCP (ACK),3097105136,1902052015
52.168.117.175,192.168.55.103,N/A,N/A,IPv4,106,N/A,66 bytes,2024-09-04 15:33:56,IP (TTL: 106),N/A,N/A
192.168.55.103,172.64.155.209,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,N/A,55 bytes,2024-09-04 15:33:57,TCP (ACK),3506543890,3252959383
192.168.55.103,172.64.155.209,N/A,N/A,IPv4,N/A,N/A,55 bytes,2024-09-04 15:33:57,Unknown,N/A,N/A
192.168.55.103,172.64.155.209,N/A,N/A,IPv4,128,N/A,55 bytes,2024-09-04 15:33:57,IP (TTL: 128),N/A,N/A
172.64.155.209,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,57,N/A,66 bytes,2024-09-04 15:33:57,TCP (ACK),3252959383,3506543891
172.64.155.209,192.168.55.103,N/A,N/A,IPv4,57,N/A,66 bytes,2024-09-04 15:33:57,IP (TTL: 57),N/A,N/A
192.168.55.103,57.144.110.145,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,N/A,83 bytes,2024-09-04 15:33:58,TCP,2738845989,421291608
192.168.55.103,57.144.110.145,N/A,N/A,IPv4,N/A,N/A,83 bytes,2024-09-04 15:33:58,Unknown,N/A,N/A
