Source IP,Destination IP,Source MAC,Destination MAC,IP Version,TTL,Checksum,Packet Size,Passing Time,Protocol,Identifier,Sequence,ICMP Type,ICMP Code,HTTP Method,Flow Label,Traffic Class,Hop Limit,Next Header,Fragment Offset,Flags
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 242,276 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,276 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 248,282 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,282 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 232,266 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,266 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 235,269 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,269 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 232,266 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,266 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 229,263 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,263 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 228,262 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,262 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 231,265 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,265 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 230,264 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,264 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 230,264 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,264 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 236,270 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,270 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 241,275 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,275 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 231,265 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,265 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 230,264 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,264 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 221,255 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,255 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 224,258 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,258 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 229,263 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,263 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 223,257 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,257 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 229,263 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,263 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 204,238 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,238 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 211,245 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,245 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 212,246 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,246 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.240.237,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 60,94 bytes,2024-09-08 22:42:25,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.240.237,192.168.55.103,N/A,N/A,IPv4,59,N/A,94 bytes,2024-09-08 22:42:25,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
