Source IP,Destination IP,Source MAC,Destination MAC,IP Version,TTL,Checksum,Packet Size,Passing Time,Protocol,Identifier,Sequence,ICMP Type,ICMP Code,HTTP Method,Flow Label,Traffic Class,Hop Limit,Next Header,Fragment Offset,Flags
192.168.55.103,57.144.110.145,N/A,N/A,IPv4,N/A,N/A,54 bytes,2024-10-12 17:46:55,HTTPS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.145,N/A,N/A,IPv4,128,N/A,54 bytes,2024-10-12 17:46:55,IP (TTL: 128),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
192.168.55.103,57.144.110.145,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,"Window Size: 1027, MSS: None",54 bytes,2024-10-12 17:46:55,TCP,1283831786,109991312,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.145,N/A,N/A,IPv4,N/A,N/A,54 bytes,2024-10-12 17:46:55,HTTPS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.145,N/A,N/A,IPv4,128,N/A,54 bytes,2024-10-12 17:46:55,IP (TTL: 128),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
192.168.55.103,57.144.110.141,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,"Window Size: 1027, MSS: None",86 bytes,2024-10-12 17:46:56,TCP,2519299309,346162283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,N/A,N/A,86 bytes,2024-10-12 17:46:56,Unknown HTTP Traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,128,N/A,86 bytes,2024-10-12 17:46:56,IP (TTL: 128),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
57.144.110.141,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,58,"Window Size: 311, MSS: None",82 bytes,2024-10-12 17:46:56,TCP,346162283,2519299341,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57.144.110.141,192.168.55.103,N/A,N/A,IPv4,N/A,N/A,82 bytes,2024-10-12 17:46:56,Unknown HTTP Traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57.144.110.141,192.168.55.103,N/A,N/A,IPv4,58,N/A,82 bytes,2024-10-12 17:46:56,IP (TTL: 58),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
192.168.55.103,57.144.110.141,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,"Window Size: 1027, MSS: None",54 bytes,2024-10-12 17:46:56,TCP,2519299341,346162311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,N/A,N/A,54 bytes,2024-10-12 17:46:56,HTTPS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,128,N/A,54 bytes,2024-10-12 17:46:56,IP (TTL: 128),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
192.168.55.103,239.255.255.250,2c:f0:5d:81:6f:60,01:00:5e:7f:ff:fa,4,1,UDP Length: 178,212 bytes,2024-10-12 17:46:57,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,239.255.255.250,N/A,N/A,IPv4,1,N/A,212 bytes,2024-10-12 17:46:57,IP (TTL: 1),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,
192.168.55.103,57.144.110.141,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,"Window Size: 1026, MSS: None",86 bytes,2024-10-12 17:46:57,TCP,1353959378,3030862753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,N/A,N/A,86 bytes,2024-10-12 17:46:57,Unknown HTTP Traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,128,N/A,86 bytes,2024-10-12 17:46:57,IP (TTL: 128),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
192.168.55.103,57.144.110.141,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,"Window Size: 1026, MSS: None",86 bytes,2024-10-12 17:46:57,TCP,1978455100,3066822863,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,57.144.110.141,N/A,N/A,IPv4,N/A,N/A,86 bytes,2024-10-12 17:46:57,Unknown HTTP Traffic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
